rho,type,feature_a,family_a,source_a,desc_a,feature_b,family_b,source_b,desc_b
0.9943679311102276,F1内部,announcement_semantic_000,F1,w30_n_ann,近30天 公告数,announcement_semantic_008,F1,w30_score_sum,近30天 风险分总和
0.9937923121330821,F1内部,announcement_semantic_034,F1,w60_score_max,近60天 风险分最大值,announcement_semantic_035,F1,w60_score_sum,近60天 风险分总和
0.9931155824011739,F1内部,announcement_semantic_001,F1,w30_n_rows,近30天 主题命中数,announcement_semantic_006,F1,w30_score_mean,近30天 风险分均值
0.9928213722002424,F1内部,announcement_semantic_003,F1,w30_n_themes,近30天 覆盖主题数,announcement_semantic_006,F1,w30_score_mean,近30天 风险分均值
0.9927757086919896,F1内部,announcement_semantic_017,F1,w30_L1_D_max,近30天 一级主题D 最高分,announcement_semantic_018,F1,w30_L1_D_cnt,近30天 一级主题D 证据数
0.9925853097338796,F1内部,announcement_semantic_027,F1,w60_n_ann,近60天 公告数,announcement_semantic_028,F1,w60_n_rows,近60天 主题命中数
0.9925437090544345,F1内部,announcement_semantic_000,F1,w30_n_ann,近30天 公告数,announcement_semantic_007,F1,w30_score_max,近30天 风险分最大值
0.9924466770762354,F1内部,announcement_semantic_019,F1,w30_L1_E_max,近30天 一级主题E 最高分,announcement_semantic_020,F1,w30_L1_E_cnt,近30天 一级主题E 证据数
0.992175576729263,F1内部,announcement_semantic_028,F1,w60_n_rows,近60天 主题命中数,announcement_semantic_030,F1,w60_n_themes,近60天 覆盖主题数
0.9912336559442938,F1内部,announcement_semantic_186,F1,th_G06_max,主题 G06 近180天最高风险分,announcement_semantic_187,F1,th_G06_cnt,主题 G06 近180天证据条数
0.991092608856519,F1内部,announcement_semantic_172,F1,th_F04_max,主题 F04 近180天最高风险分,announcement_semantic_173,F1,th_F04_cnt,主题 F04 近180天证据条数
0.9908769538438841,F1内部,announcement_semantic_077,F1,w90_L1_G_max,近90天 一级主题G 最高分,announcement_semantic_078,F1,w90_L1_G_cnt,近90天 一级主题G 证据数
0.990736767977971,F1内部,announcement_semantic_000,F1,w30_n_ann,近30天 公告数,announcement_semantic_006,F1,w30_score_mean,近30天 风险分均值
0.9902570680510785,F1内部,announcement_semantic_033,F1,w60_score_mean,近60天 风险分均值,announcement_semantic_034,F1,w60_score_max,近60天 风险分最大值
0.9897676463093776,F3↔F3,mkt_volume_ratio_20d,F3,,,mkt_amount_ratio_20d,F3,,
0.9897089030147342,F1内部,announcement_semantic_033,F1,w60_score_mean,近60天 风险分均值,announcement_semantic_035,F1,w60_score_sum,近60天 风险分总和
0.9893648901918739,F1内部,announcement_semantic_003,F1,w30_n_themes,近30天 覆盖主题数,announcement_semantic_010,F1,w30_sentneg_mean,近30天 负面情绪均值
0.9892476527882293,F1内部,announcement_semantic_001,F1,w30_n_rows,近30天 主题命中数,announcement_semantic_010,F1,w30_sentneg_mean,近30天 负面情绪均值
0.9891303397258461,F1内部,announcement_semantic_007,F1,w30_score_max,近30天 风险分最大值,announcement_semantic_010,F1,w30_sentneg_mean,近30天 负面情绪均值
0.9890394768472587,F1内部,announcement_semantic_008,F1,w30_score_sum,近30天 风险分总和,announcement_semantic_010,F1,w30_sentneg_mean,近30天 负面情绪均值
0.9888531305640296,F1内部,announcement_semantic_040,F1,w60_L1_B_max,近60天 一级主题B 最高分,announcement_semantic_041,F1,w60_L1_B_cnt,近60天 一级主题B 证据数
0.9884266087209658,F1内部,announcement_semantic_006,F1,w30_score_mean,近30天 风险分均值,announcement_semantic_010,F1,w30_sentneg_mean,近30天 负面情绪均值
0.9883052672308774,F1内部,announcement_semantic_079,F1,w90_L1_H_max,近90天 一级主题H 最高分,announcement_semantic_080,F1,w90_L1_H_cnt,近90天 一级主题H 证据数
0.9880100674215369,F1内部,announcement_semantic_182,F1,th_G04_max,主题 G04 近180天最高风险分,announcement_semantic_183,F1,th_G04_cnt,主题 G04 近180天证据条数
0.9879956171899315,F1内部,announcement_semantic_000,F1,w30_n_ann,近30天 公告数,announcement_semantic_010,F1,w30_sentneg_mean,近30天 负面情绪均值
0.9878374921096458,F1内部,announcement_semantic_042,F1,w60_L1_C_max,近60天 一级主题C 最高分,announcement_semantic_043,F1,w60_L1_C_cnt,近60天 一级主题C 证据数
0.987316680278513,F1内部,announcement_semantic_054,F1,w90_n_ann,近90天 公告数,announcement_semantic_055,F1,w90_n_rows,近90天 主题命中数
0.9871961132902979,F3↔F3,mkt_volume_cv_20d,F3,,,mkt_amount_cv_20d,F3,,
0.9865053433735681,F1内部,announcement_semantic_048,F1,w60_L1_F_max,近60天 一级主题F 最高分,announcement_semantic_049,F1,w60_L1_F_cnt,近60天 一级主题F 证据数
0.9849368883329752,F1内部,announcement_semantic_098,F1,w180_L1_D_max,近180天 一级主题D 最高分,announcement_semantic_142,F1,th_D01_max,主题 D01 近180天最高风险分
0.9848810256633314,F1内部,announcement_semantic_038,F1,w60_L1_A_max,近60天 一级主题A 最高分,announcement_semantic_039,F1,w60_L1_A_cnt,近60天 一级主题A 证据数
0.9842074306692432,F1内部,announcement_semantic_081,F1,w180_n_ann,近180天 公告数,announcement_semantic_082,F1,w180_n_rows,近180天 主题命中数
0.9825968313225771,F1内部,announcement_semantic_027,F1,w60_n_ann,近60天 公告数,announcement_semantic_030,F1,w60_n_themes,近60天 覆盖主题数
0.9817041466531977,F1内部,announcement_semantic_164,F1,th_E07_max,主题 E07 近180天最高风险分,announcement_semantic_165,F1,th_E07_cnt,主题 E07 近180天证据条数
0.9808665686472379,F3↔F3,mkt_financing_balance,F3,,,mkt_margin_total_balance,F3,,
0.9799558353853906,F1内部,announcement_semantic_100,F1,w180_L1_E_max,近180天 一级主题E 最高分,announcement_semantic_156,F1,th_E03_max,主题 E03 近180天最高风险分
0.9798886067506464,F1内部,announcement_semantic_028,F1,w60_n_rows,近60天 主题命中数,announcement_semantic_035,F1,w60_score_sum,近60天 风险分总和
0.9787054394953387,F1内部,announcement_semantic_030,F1,w60_n_themes,近60天 覆盖主题数,announcement_semantic_035,F1,w60_score_sum,近60天 风险分总和
0.9778229341919866,F1内部,announcement_semantic_104,F1,w180_L1_G_max,近180天 一级主题G 最高分,announcement_semantic_105,F1,w180_L1_G_cnt,近180天 一级主题G 证据数
0.975132366352725,F1内部,announcement_semantic_101,F1,w180_L1_E_cnt,近180天 一级主题E 证据数,announcement_semantic_157,F1,th_E03_cnt,主题 E03 近180天证据条数
0.9749764646931293,F2↔F2,f2_log_market_cap,F2,,,f2_market_cap_quintile,F2,,
0.9747873399153921,F1内部,announcement_semantic_030,F1,w60_n_themes,近60天 覆盖主题数,announcement_semantic_034,F1,w60_score_max,近60天 风险分最大值
0.9738185813130714,F1内部,announcement_semantic_138,F1,th_C05_max,主题 C05 近180天最高风险分,announcement_semantic_139,F1,th_C05_cnt,主题 C05 近180天证据条数
0.9722753547977613,F1内部,announcement_semantic_124,F1,th_B03_max,主题 B03 近180天最高风险分,announcement_semantic_125,F1,th_B03_cnt,主题 B03 近180天证据条数
0.9717524869550936,F1内部,announcement_semantic_106,F1,w180_L1_H_max,近180天 一级主题H 最高分,announcement_semantic_107,F1,w180_L1_H_cnt,近180天 一级主题H 证据数
0.9714894827226193,F1内部,announcement_semantic_190,F1,th_H01_max,主题 H01 近180天最高风险分,announcement_semantic_191,F1,th_H01_cnt,主题 H01 近180天证据条数
0.9713978675928754,F1内部,announcement_semantic_107,F1,w180_L1_H_cnt,近180天 一级主题H 证据数,announcement_semantic_190,F1,th_H01_max,主题 H01 近180天最高风险分
0.971142556842522,F1内部,announcement_semantic_106,F1,w180_L1_H_max,近180天 一级主题H 最高分,announcement_semantic_191,F1,th_H01_cnt,主题 H01 近180天证据条数
0.970712806918864,F1内部,announcement_semantic_055,F1,w90_n_rows,近90天 主题命中数,announcement_semantic_057,F1,w90_n_themes,近90天 覆盖主题数
0.9705482622325731,F1内部,announcement_semantic_028,F1,w60_n_rows,近60天 主题命中数,announcement_semantic_034,F1,w60_score_max,近60天 风险分最大值
0.9701330676839316,F1内部,announcement_semantic_058,F1,w90_rule_hits,近90天 规则命中数,announcement_semantic_062,F1,w90_score_sum,近90天 风险分总和
0.9693101549657827,F1内部,announcement_semantic_027,F1,w60_n_ann,近60天 公告数,announcement_semantic_035,F1,w60_score_sum,近60天 风险分总和
0.9682287369060966,F1内部,announcement_semantic_146,F1,th_D03_max,主题 D03 近180天最高风险分,announcement_semantic_147,F1,th_D03_cnt,主题 D03 近180天证据条数
0.9677918742730042,F4↔F4,sent_post_count_30d,F4,,,sent_post_daily_peak_30d,F4,,
0.9676853851105954,F4↔F4,sent_post_count_30d,F4,,,sent_comment_count_30d,F4,,
0.9661408228321671,F1内部,announcement_semantic_046,F1,w60_L1_E_max,近60天 一级主题E 最高分,announcement_semantic_047,F1,w60_L1_E_cnt,近60天 一级主题E 证据数
0.965528481389108,F1内部,announcement_semantic_061,F1,w90_score_max,近90天 风险分最大值,announcement_semantic_062,F1,w90_score_sum,近90天 风险分总和
0.9654088598403406,F1内部,announcement_semantic_085,F1,w180_rule_hits,近180天 规则命中数,announcement_semantic_089,F1,w180_score_sum,近180天 风险分总和
0.96311968803328,F1内部,announcement_semantic_082,F1,w180_n_rows,近180天 主题命中数,announcement_semantic_099,F1,w180_L1_D_cnt,近180天 一级主题D 证据数
0.9630094060264275,F1内部,announcement_semantic_093,F1,w180_L1_A_cnt,近180天 一级主题A 证据数,announcement_semantic_109,F1,th_A01_cnt,主题 A01 近180天证据条数
0.9627173622842099,F1内部,announcement_semantic_075,F1,w90_L1_F_max,近90天 一级主题F 最高分,announcement_semantic_076,F1,w90_L1_F_cnt,近90天 一级主题F 证据数
0.960304287628683,F1内部,announcement_semantic_103,F1,w180_L1_F_cnt,近180天 一级主题F 证据数,announcement_semantic_167,F1,th_F01_cnt,主题 F01 近180天证据条数
0.9593830006833125,F1内部,announcement_semantic_027,F1,w60_n_ann,近60天 公告数,announcement_semantic_034,F1,w60_score_max,近60天 风险分最大值
0.9581587051947191,F1内部,announcement_semantic_069,F1,w90_L1_C_max,近90天 一级主题C 最高分,announcement_semantic_070,F1,w90_L1_C_cnt,近90天 一级主题C 证据数
0.9575674021501926,F1内部,announcement_semantic_088,F1,w180_score_max,近180天 风险分最大值,announcement_semantic_096,F1,w180_L1_C_max,近180天 一级主题C 最高分
0.9575356595863707,F1内部,announcement_semantic_028,F1,w60_n_rows,近60天 主题命中数,announcement_semantic_045,F1,w60_L1_D_cnt,近60天 一级主题D 证据数
0.9572886332970268,F1内部,announcement_semantic_093,F1,w180_L1_A_cnt,近180天 一级主题A 证据数,announcement_semantic_113,F1,th_A03_cnt,主题 A03 近180天证据条数
0.9572666251005549,F1内部,announcement_semantic_102,F1,w180_L1_F_max,近180天 一级主题F 最高分,announcement_semantic_166,F1,th_F01_max,主题 F01 近180天最高风险分
0.9566019878285251,F1内部,announcement_semantic_055,F1,w90_n_rows,近90天 主题命中数,announcement_semantic_072,F1,w90_L1_D_cnt,近90天 一级主题D 证据数
0.9565921659132947,F1内部,announcement_semantic_030,F1,w60_n_themes,近60天 覆盖主题数,announcement_semantic_033,F1,w60_score_mean,近60天 风险分均值
0.9564439059736621,F1内部,announcement_semantic_044,F1,w60_L1_D_max,近60天 一级主题D 最高分,announcement_semantic_045,F1,w60_L1_D_cnt,近60天 一级主题D 证据数
0.9556311663629906,F1内部,announcement_semantic_160,F1,th_E05_max,主题 E05 近180天最高风险分,announcement_semantic_161,F1,th_E05_cnt,主题 E05 近180天证据条数
0.9552497125851329,F1内部,announcement_semantic_126,F1,th_B04_max,主题 B04 近180天最高风险分,announcement_semantic_127,F1,th_B04_cnt,主题 B04 近180天证据条数
0.9545173845889108,F1内部,announcement_semantic_054,F1,w90_n_ann,近90天 公告数,announcement_semantic_057,F1,w90_n_themes,近90天 覆盖主题数
0.953923584305527,F1内部,announcement_semantic_028,F1,w60_n_rows,近60天 主题命中数,announcement_semantic_033,F1,w60_score_mean,近60天 风险分均值
0.9512072978854269,F2↔F2,f2_roe,F2,,,f2_roa,F2,,
0.951122444751944,F4↔F4,sent_post_count_30d,F4,,,sent_read_count_30d,F4,,
0.9510801851076195,F1内部,announcement_semantic_001,F1,w30_n_rows,近30天 主题命中数,announcement_semantic_018,F1,w30_L1_D_cnt,近30天 一级主题D 证据数
0.9509293578342697,F1内部,announcement_semantic_030,F1,w60_n_themes,近60天 覆盖主题数,announcement_semantic_045,F1,w60_L1_D_cnt,近60天 一级主题D 证据数
0.9507090933482856,F1内部,announcement_semantic_003,F1,w30_n_themes,近30天 覆盖主题数,announcement_semantic_018,F1,w30_L1_D_cnt,近30天 一级主题D 证据数
0.9506164306105606,F2↔F3,f2_log_market_cap,F2,,,mkt_market_cap,F3,,
0.9506164306105606,F2↔F3,f2_log_market_cap,F2,,,mkt_log_market_cap,F3,,
0.9505732502818295,F2↔F2,f2_benford_chi2_revenue,F2,,,f2_benford_max_dev,F2,,
0.94980927172064,F1内部,announcement_semantic_003,F1,w30_n_themes,近30天 覆盖主题数,announcement_semantic_017,F1,w30_L1_D_max,近30天 一级主题D 最高分
0.9486827716509495,F1内部,announcement_semantic_001,F1,w30_n_rows,近30天 主题命中数,announcement_semantic_017,F1,w30_L1_D_max,近30天 一级主题D 最高分
0.9483452851292945,F1内部,announcement_semantic_096,F1,w180_L1_C_max,近180天 一级主题C 最高分,announcement_semantic_130,F1,th_C01_max,主题 C01 近180天最高风险分
0.9483363639394582,F1内部,announcement_semantic_035,F1,w60_score_sum,近60天 风险分总和,announcement_semantic_044,F1,w60_L1_D_max,近60天 一级主题D 最高分
0.948192227066915,F1内部,announcement_semantic_081,F1,w180_n_ann,近180天 公告数,announcement_semantic_099,F1,w180_L1_D_cnt,近180天 一级主题D 证据数
0.9479286743365316,F1内部,announcement_semantic_028,F1,w60_n_rows,近60天 主题命中数,announcement_semantic_037,F1,w60_sentneg_mean,近60天 负面情绪均值
0.9473014061312081,F1内部,announcement_semantic_089,F1,w180_score_sum,近180天 风险分总和,announcement_semantic_097,F1,w180_L1_C_cnt,近180天 一级主题C 证据数
0.9466339280798076,F1内部,announcement_semantic_008,F1,w30_score_sum,近30天 风险分总和,announcement_semantic_017,F1,w30_L1_D_max,近30天 一级主题D 最高分
0.9463852676813084,F1内部,announcement_semantic_034,F1,w60_score_max,近60天 风险分最大值,announcement_semantic_044,F1,w60_L1_D_max,近60天 一级主题D 最高分
0.9453038393506485,F1内部,announcement_semantic_007,F1,w30_score_max,近30天 风险分最大值,announcement_semantic_017,F1,w30_L1_D_max,近30天 一级主题D 最高分
0.945260850283533,F1内部,announcement_semantic_060,F1,w90_score_mean,近90天 风险分均值,announcement_semantic_061,F1,w90_score_max,近90天 风险分最大值
0.9446839251286616,F1内部,announcement_semantic_027,F1,w60_n_ann,近60天 公告数,announcement_semantic_045,F1,w60_L1_D_cnt,近60天 一级主题D 证据数
0.9446291428936611,F1内部,announcement_semantic_030,F1,w60_n_themes,近60天 覆盖主题数,announcement_semantic_037,F1,w60_sentneg_mean,近60天 负面情绪均值
0.9442028905128036,F1内部,announcement_semantic_058,F1,w90_rule_hits,近90天 规则命中数,announcement_semantic_061,F1,w90_score_max,近90天 风险分最大值
0.944152742074086,F1内部,announcement_semantic_035,F1,w60_score_sum,近60天 风险分总和,announcement_semantic_037,F1,w60_sentneg_mean,近60天 负面情绪均值
0.943099024385744,F1内部,announcement_semantic_027,F1,w60_n_ann,近60天 公告数,announcement_semantic_037,F1,w60_sentneg_mean,近60天 负面情绪均值
0.9430019160131478,F1内部,announcement_semantic_067,F1,w90_L1_B_max,近90天 一级主题B 最高分,announcement_semantic_068,F1,w90_L1_B_cnt,近90天 一级主题B 证据数
0.9425909235495448,F1内部,announcement_semantic_034,F1,w60_score_max,近60天 风险分最大值,announcement_semantic_037,F1,w60_sentneg_mean,近60天 负面情绪均值
0.9423006865532322,F1内部,announcement_semantic_008,F1,w30_score_sum,近30天 风险分总和,announcement_semantic_018,F1,w30_L1_D_cnt,近30天 一级主题D 证据数
0.9419844821584789,F1内部,announcement_semantic_006,F1,w30_score_mean,近30天 风险分均值,announcement_semantic_017,F1,w30_L1_D_max,近30天 一级主题D 最高分
0.9417266762664172,F1内部,announcement_semantic_033,F1,w60_score_mean,近60天 风险分均值,announcement_semantic_044,F1,w60_L1_D_max,近60天 一级主题D 最高分
0.9416684482730263,F1内部,announcement_semantic_030,F1,w60_n_themes,近60天 覆盖主题数,announcement_semantic_044,F1,w60_L1_D_max,近60天 一级主题D 最高分
0.9411084122162441,F1内部,announcement_semantic_027,F1,w60_n_ann,近60天 公告数,announcement_semantic_033,F1,w60_score_mean,近60天 风险分均值
0.9403486833598158,F1内部,announcement_semantic_031,F1,w60_rule_hits,近60天 规则命中数,announcement_semantic_035,F1,w60_score_sum,近60天 风险分总和
0.9401022182541172,F1内部,announcement_semantic_000,F1,w30_n_ann,近30天 公告数,announcement_semantic_018,F1,w30_L1_D_cnt,近30天 一级主题D 证据数
0.9399511735174263,F1内部,announcement_semantic_054,F1,w90_n_ann,近90天 公告数,announcement_semantic_072,F1,w90_L1_D_cnt,近90天 一级主题D 证据数
0.9399071102144176,F4↔F4,sent_comment_count_30d,F4,,,sent_post_daily_peak_30d,F4,,
0.9398701299299463,F1内部,announcement_semantic_007,F1,w30_score_max,近30天 风险分最大值,announcement_semantic_018,F1,w30_L1_D_cnt,近30天 一级主题D 证据数
0.9397016475695431,F1内部,announcement_semantic_085,F1,w180_rule_hits,近180天 规则命中数,announcement_semantic_097,F1,w180_L1_C_cnt,近180天 一级主题C 证据数
0.9394749064553962,F1内部,announcement_semantic_033,F1,w60_score_mean,近60天 风险分均值,announcement_semantic_037,F1,w60_sentneg_mean,近60天 负面情绪均值
0.9392350749819124,F4↔F4,sent_comment_count_30d,F4,,,sent_read_count_30d,F4,,
0.9389547643612702,F5↔F5,gov_top1_holder_ratio,F5,,,gov_top10_hhi,F5,,
0.9387386590988936,F1内部,announcement_semantic_060,F1,w90_score_mean,近90天 风险分均值,announcement_semantic_062,F1,w90_score_sum,近90天 风险分总和
0.9383605664405519,F1内部,announcement_semantic_094,F1,w180_L1_B_max,近180天 一级主题B 最高分,announcement_semantic_128,F1,th_B05_max,主题 B05 近180天最高风险分
0.9383006070396949,F4↔F4,sent_news_count_30d,F4,,,sent_news_daily_peak_30d,F4,,
0.9382745461294814,F4↔F4,sent_post_count_5d,F4,,,sent_post_count_30d,F4,,
0.9358304376670027,F1内部,announcement_semantic_097,F1,w180_L1_C_cnt,近180天 一级主题C 证据数,announcement_semantic_131,F1,th_C01_cnt,主题 C01 近180天证据条数
0.9358257073627428,F1内部,announcement_semantic_028,F1,w60_n_rows,近60天 主题命中数,announcement_semantic_044,F1,w60_L1_D_max,近60天 一级主题D 最高分
0.9358160206194234,F1内部,announcement_semantic_000,F1,w30_n_ann,近30天 公告数,announcement_semantic_017,F1,w30_L1_D_max,近30天 一级主题D 最高分
0.9349045931004484,F1内部,announcement_semantic_082,F1,w180_n_rows,近180天 主题命中数,announcement_semantic_157,F1,th_E03_cnt,主题 E03 近180天证据条数
0.93473576235745,F1内部,announcement_semantic_031,F1,w60_rule_hits,近60天 规则命中数,announcement_semantic_034,F1,w60_score_max,近60天 风险分最大值
0.9343886319224346,F1内部,announcement_semantic_006,F1,w30_score_mean,近30天 风险分均值,announcement_semantic_018,F1,w30_L1_D_cnt,近30天 一级主题D 证据数
0.9339794324316535,F1内部,announcement_semantic_081,F1,w180_n_ann,近180天 公告数,announcement_semantic_157,F1,th_E03_cnt,主题 E03 近180天证据条数
0.9336835616231828,F1内部,announcement_semantic_010,F1,w30_sentneg_mean,近30天 负面情绪均值,announcement_semantic_018,F1,w30_L1_D_cnt,近30天 一级主题D 证据数
0.9335467775266256,F1内部,announcement_semantic_010,F1,w30_sentneg_mean,近30天 负面情绪均值,announcement_semantic_017,F1,w30_L1_D_max,近30天 一级主题D 最高分
0.933152369368834,F2↔F3,f2_market_cap_quintile,F2,,,mkt_market_cap,F3,,
0.933152369368834,F2↔F3,f2_market_cap_quintile,F2,,,mkt_log_market_cap,F3,,
0.9317722977187879,F1内部,announcement_semantic_089,F1,w180_score_sum,近180天 风险分总和,announcement_semantic_095,F1,w180_L1_B_cnt,近180天 一级主题B 证据数
0.9317104748468299,F1内部,announcement_semantic_082,F1,w180_n_rows,近180天 主题命中数,announcement_semantic_084,F1,w180_n_themes,近180天 覆盖主题数
0.9312161906643427,F1内部,announcement_semantic_031,F1,w60_rule_hits,近60天 规则命中数,announcement_semantic_033,F1,w60_score_mean,近60天 风险分均值
